,material,name,link,revenue,num_employee,year_founded
0,chemicals,E & C Chemicals Inc.,https://www.eandcchemicals.com/index.html,$5 - 9.9 Mil,10-49,1986
1,chemicals,"TRInternational, Inc.",http://www.trichemicals.com/,$25 - 49.9 Mil,10-49,1986
2,chemicals,"GFS Chemicals, Inc.",http://www.gfschemicals.com,$25 - 49.9 Mil,100-199,1986
3,chemicals,"Mayzo, Inc.",https://www.mayzo.com/,$25 - 49.9 Mil,10-49,1986
