,material,name,link,revenue,num_employee,year_founded
0,plastics,"Industrial Plastic Supply, Inc.",https://iplasticsupply.com/,$5 - 9.9 Mil,10-49,1954
1,plastics,"New Process Fibre Company, Inc.",https://www.newprocess.com/,$5 - 9.9 Mil,50-99,1954
2,plastics,"Applied Plastics Co., Inc.",http://appliedplastics.com/,$1 - 4.9 Mil,10-49,1954
